Q8TCD1 AF-Q8TCD1-F1-model_v4.pdb
Q8WXQ3 AF-Q8WXQ3-F1-model_v4.pdb
Q8WXQ8 AF-Q8WXQ8-F1-model_v4.pdb
Q8WXR4 AF-Q8WXR4-F1-model_v4.pdb
Q8WXS3 AF-Q8WXS3-F1-model_v4.pdb
Q8WXS4 AF-Q8WXS4-F1-model_v4.pdb
Q8WXS5 AF-Q8WXS5-F1-model_v4.pdb
Q8WXS8 AF-Q8WXS8-F1-model_v4.pdb
Q8WXT5 AF-Q8WXT5-F1-model_v4.pdb
Q8WXU2 AF-Q8WXU2-F1-model_v4.pdb
Q8WXW3 AF-Q8WXW3-F1-model_v4.pdb
Q8WXX0 AF-Q8WXX0-F1-model_v4.pdb
Q96E52 AF-Q96E52-F1-model_v4.pdb
Q96E93 AF-Q96E93-F1-model_v4.pdb
Q96EA4 AF-Q96EA4-F1-model_v4.pdb
Q96EB1 AF-Q96EB1-F1-model_v4.pdb
Q96EB6 AF-Q96EB6-F1-model_v4.pdb
Q96EC8 AF-Q96EC8-F1-model_v4.pdb
Q96ED9 AF-Q96ED9-F1-model_v4.pdb
Q96EE3 AF-Q96EE3-F1-model_v4.pdb
Q96EE4 AF-Q96EE4-F1-model_v4.pdb
Q96EF0 AF-Q96EF0-F1-model_v4.pdb
Q96EF6 AF-Q96EF6-F1-model_v4.pdb
Q96EF9 AF-Q96EF9-F1-model_v4.pdb
Q96EG1 AF-Q96EG1-F1-model_v4.pdb
Q96EG3 AF-Q96EG3-F1-model_v4.pdb
Q96EH3 AF-Q96EH3-F1-model_v4.pdb
Q96EH5 AF-Q96EH5-F1-model_v4.pdb
Q96EH8 AF-Q96EH8-F1-model_v4.pdb
Q96EI5 AF-Q96EI5-F1-model_v4.pdb
Q96EK2 AF-Q96EK2-F1-model_v4.pdb
Q96EK4 AF-Q96EK4-F1-model_v4.pdb
Q96EK5 AF-Q96EK5-F1-model_v4.pdb
Q96EK6 AF-Q96EK6-F1-model_v4.pdb
Q96EK7 AF-Q96EK7-F1-model_v4.pdb
Q96EK9 AF-Q96EK9-F1-model_v4.pdb
Q96EL1 AF-Q96EL1-F1-model_v4.pdb
Q96EL2 AF-Q96EL2-F1-model_v4.pdb
Q96EL3 AF-Q96EL3-F1-model_v4.pdb
Q96DR7 AF-Q96DR7-F1-model_v4.pdb
Q96DR8 AF-Q96DR8-F1-model_v4.pdb
Q96DS6 AF-Q96DS6-F1-model_v4.pdb
Q96DT0 AF-Q96DT0-F1-model_v4.pdb
Q96DT5 AF-Q96DT5-F1-model_v4.pdb
Q96DT6 AF-Q96DT6-F1-model_v4.pdb
