Q9BTN0 AF-Q9BTN0-F1-model_v4.pdb
Q9BYR2 AF-Q9BYR2-F1-model_v4.pdb
Q9BYR3 AF-Q9BYR3-F1-model_v4.pdb
Q9BYR4 AF-Q9BYR4-F1-model_v4.pdb
Q9BYR5 AF-Q9BYR5-F1-model_v4.pdb
Q9BYR6 AF-Q9BYR6-F1-model_v4.pdb
Q9BYR7 AF-Q9BYR7-F1-model_v4.pdb
Q9BYR8 AF-Q9BYR8-F1-model_v4.pdb
Q9BYR9 AF-Q9BYR9-F1-model_v4.pdb
Q9BZR8 AF-Q9BZR8-F1-model_v4.pdb
Q9BZR9 AF-Q9BZR9-F1-model_v4.pdb
Q9BZS1 AF-Q9BZS1-F1-model_v4.pdb
Q9BZS9 AF-Q9BZS9-F1-model_v4.pdb
Q9BZV1 AF-Q9BZV1-F1-model_v4.pdb
Q9BZV2 AF-Q9BZV2-F1-model_v4.pdb
Q9BZV3 AF-Q9BZV3-F1-model_v4.pdb
Q9BZW2 AF-Q9BZW2-F1-model_v4.pdb
Q9BZW4 AF-Q9BZW4-F1-model_v4.pdb
Q9BZW5 AF-Q9BZW5-F1-model_v4.pdb
Q9BZW7 AF-Q9BZW7-F1-model_v4.pdb
Q9BZW8 AF-Q9BZW8-F1-model_v4.pdb
Q9BZX2 AF-Q9BZX2-F1-model_v4.pdb
Q9BZX4 AF-Q9BZX4-F1-model_v4.pdb
Q9BZY9 AF-Q9BZY9-F1-model_v4.pdb
Q9BZZ2 AF-Q9BZZ2-F1-model_v4.pdb
Q9BZZ5 AF-Q9BZZ5-F1-model_v4.pdb
Q9C000 AF-Q9C000-F1-model_v4.pdb
Q9C002 AF-Q9C002-F1-model_v4.pdb
Q9C004 AF-Q9C004-F1-model_v4.pdb
Q9C005 AF-Q9C005-F1-model_v4.pdb
Q9C009 AF-Q9C009-F1-model_v4.pdb
Q9C010 AF-Q9C010-F1-model_v4.pdb
Q9C019 AF-Q9C019-F1-model_v4.pdb
Q9C026 AF-Q9C026-F1-model_v4.pdb
Q9C029 AF-Q9C029-F1-model_v4.pdb
Q9C030 AF-Q9C030-F1-model_v4.pdb
Q9C035 AF-Q9C035-F1-model_v4.pdb
Q9C037 AF-Q9C037-F1-model_v4.pdb
Q9C040 AF-Q9C040-F1-model_v4.pdb
Q9C056 AF-Q9C056-F1-model_v4.pdb
Q9C073 AF-Q9C073-F1-model_v4.pdb
Q9C075 AF-Q9C075-F1-model_v4.pdb
Q9C086 AF-Q9C086-F1-model_v4.pdb
Q9C091 AF-Q9C091-F1-model_v4.pdb
Q9C093 AF-Q9C093-F1-model_v4.pdb
Q9C098 AF-Q9C098-F1-model_v4.pdb
Q9C099 AF-Q9C099-F1-model_v4.pdb
Q9C0A0 AF-Q9C0A0-F1-model_v4.pdb
