Q9NUU7 AF-Q9NUU7-F1-model_v4.pdb
Q9P2H0 AF-Q9P2H0-F1-model_v4.pdb
Q9P2H3 AF-Q9P2H3-F1-model_v4.pdb
Q9P2H5 AF-Q9P2H5-F1-model_v4.pdb
Q9P2I0 AF-Q9P2I0-F1-model_v4.pdb
Q9P2J2 AF-Q9P2J2-F1-model_v4.pdb
Q9P2J3 AF-Q9P2J3-F1-model_v4.pdb
Q9P2J5 AF-Q9P2J5-F1-model_v4.pdb
Q9P2J8 AF-Q9P2J8-F1-model_v4.pdb
Q9P2J9 AF-Q9P2J9-F1-model_v4.pdb
Q9P2K1 AF-Q9P2K1-F1-model_v4.pdb
Q9P2K2 AF-Q9P2K2-F1-model_v4.pdb
Q9P2K3 AF-Q9P2K3-F1-model_v4.pdb
Q9P2K5 AF-Q9P2K5-F1-model_v4.pdb
Q9P2K6 AF-Q9P2K6-F1-model_v4.pdb
Q9P2K8 AF-Q9P2K8-F1-model_v4.pdb
Q9P2K9 AF-Q9P2K9-F1-model_v4.pdb
Q9P2L0 AF-Q9P2L0-F1-model_v4.pdb
Q9P2M1 AF-Q9P2M1-F1-model_v4.pdb
Q9P2M4 AF-Q9P2M4-F1-model_v4.pdb
Q9P2M7 AF-Q9P2M7-F1-model_v4.pdb
Q9P2N2 AF-Q9P2N2-F1-model_v4.pdb
Q9P2N4 AF-Q9P2N4-F1-model_v4.pdb
Q9P2N5 AF-Q9P2N5-F1-model_v4.pdb
Q9P2N6 AF-Q9P2N6-F1-model_v4.pdb
Q9P2N7 AF-Q9P2N7-F1-model_v4.pdb
Q9P2P1 AF-Q9P2P1-F1-model_v4.pdb
Q9P2P5 AF-Q9P2P5-F1-model_v4.pdb
Q9P2P6 AF-Q9P2P6-F1-model_v4.pdb
Q9UBT6 AF-Q9UBT6-F1-model_v4.pdb
Q9UBT7 AF-Q9UBT7-F1-model_v4.pdb
Q9UBU2 AF-Q9UBU2-F1-model_v4.pdb
Q9UBU3 AF-Q9UBU3-F1-model_v4.pdb
Q9UBU6 AF-Q9UBU6-F1-model_v4.pdb
Q9UBU7 AF-Q9UBU7-F1-model_v4.pdb
Q9UBU8 AF-Q9UBU8-F1-model_v4.pdb
Q9UBU9 AF-Q9UBU9-F1-model_v4.pdb
Q9UBV2 AF-Q9UBV2-F1-model_v4.pdb
Q9UBV4 AF-Q9UBV4-F1-model_v4.pdb
Q9UBV7 AF-Q9UBV7-F1-model_v4.pdb
Q9UBV8 AF-Q9UBV8-F1-model_v4.pdb
Q9UBW5 AF-Q9UBW5-F1-model_v4.pdb
