Q9Y2W1 AF-Q9Y2W1-F1-model_v4.pdb
Q9Y689 AF-Q9Y689-F1-model_v4.pdb
Q9Y691 AF-Q9Y691-F1-model_v4.pdb
Q9Y692 AF-Q9Y692-F1-model_v4.pdb
Q9Y693 AF-Q9Y693-F1-model_v4.pdb
Q9Y694 AF-Q9Y694-F1-model_v4.pdb
Q9Y696 AF-Q9Y696-F1-model_v4.pdb
Q9Y697 AF-Q9Y697-F1-model_v4.pdb
Q9Y698 AF-Q9Y698-F1-model_v4.pdb
Q9Y6A1 AF-Q9Y6A1-F1-model_v4.pdb
Q9Y6A2 AF-Q9Y6A2-F1-model_v4.pdb
Q9Y6A4 AF-Q9Y6A4-F1-model_v4.pdb
Q9Y6A5 AF-Q9Y6A5-F1-model_v4.pdb
Q9Y6A9 AF-Q9Y6A9-F1-model_v4.pdb
Q9Y6B2 AF-Q9Y6B2-F1-model_v4.pdb
Q9Y6B6 AF-Q9Y6B6-F1-model_v4.pdb
Q9Y6B7 AF-Q9Y6B7-F1-model_v4.pdb
Q9Y6C2 AF-Q9Y6C2-F1-model_v4.pdb
Q9Y6C5 AF-Q9Y6C5-F1-model_v4.pdb
Q9Y6C7 AF-Q9Y6C7-F1-model_v4.pdb
Q9Y5Q5 AF-Q9Y5Q5-F1-model_v4.pdb
Q9Y5Q6 AF-Q9Y5Q6-F1-model_v4.pdb
Q9Y5Q8 AF-Q9Y5Q8-F1-model_v4.pdb
Q9Y5Q9 AF-Q9Y5Q9-F1-model_v4.pdb
Q9Y5R2 AF-Q9Y5R2-F1-model_v4.pdb
Q9Y5R4 AF-Q9Y5R4-F1-model_v4.pdb
Q9Y5R5 AF-Q9Y5R5-F1-model_v4.pdb
Q9Y5R6 AF-Q9Y5R6-F1-model_v4.pdb
Q9Y5R8 AF-Q9Y5R8-F1-model_v4.pdb
Q9Y5S1 AF-Q9Y5S1-F1-model_v4.pdb
Q9Y5S2 AF-Q9Y5S2-F1-model_v4.pdb
Q9Y5S8 AF-Q9Y5S8-F1-model_v4.pdb
Q9Y5S9 AF-Q9Y5S9-F1-model_v4.pdb
Q9Y5T4 AF-Q9Y5T4-F1-model_v4.pdb
Q9Y5T5 AF-Q9Y5T5-F1-model_v4.pdb
Q9Y5U2 AF-Q9Y5U2-F1-model_v4.pdb
Q9Y5U4 AF-Q9Y5U4-F1-model_v4.pdb
Q9Y5U5 AF-Q9Y5U5-F1-model_v4.pdb
Q9Y5U8 AF-Q9Y5U8-F1-model_v4.pdb
Q9Y5U9 AF-Q9Y5U9-F1-model_v4.pdb
Q9Y5V0 AF-Q9Y5V0-F1-model_v4.pdb
Q9Y5V3 AF-Q9Y5V3-F1-model_v4.pdb
Q9Y5W3 AF-Q9Y5W3-F1-model_v4.pdb
Q9Y5W5 AF-Q9Y5W5-F1-model_v4.pdb
Q9Y5W7 AF-Q9Y5W7-F1-model_v4.pdb
Q9Y5W8 AF-Q9Y5W8-F1-model_v4.pdb
Q9Y5W9 AF-Q9Y5W9-F1-model_v4.pdb
Q9Y5X0 AF-Q9Y5X0-F1-model_v4.pdb
Q9Y5X1 AF-Q9Y5X1-F1-model_v4.pdb
Q9Y5X2 AF-Q9Y5X2-F1-model_v4.pdb
Q9Y5X3 AF-Q9Y5X3-F1-model_v4.pdb
Q9Y5X4 AF-Q9Y5X4-F1-model_v4.pdb
Q9Y5X5 AF-Q9Y5X5-F1-model_v4.pdb
Q9Y5X9 AF-Q9Y5X9-F1-model_v4.pdb
Q9Y5Y0 AF-Q9Y5Y0-F1-model_v4.pdb
Q9Y5Y2 AF-Q9Y5Y2-F1-model_v4.pdb
Q9Y5Y3 AF-Q9Y5Y3-F1-model_v4.pdb
Q9Y5Y4 AF-Q9Y5Y4-F1-model_v4.pdb
Q9Y5Y5 AF-Q9Y5Y5-F1-model_v4.pdb
Q9Y5Y6 AF-Q9Y5Y6-F1-model_v4.pdb
Q9Y5Y7 AF-Q9Y5Y7-F1-model_v4.pdb
Q9Y5Y9 AF-Q9Y5Y9-F1-model_v4.pdb
Q9Y5Z0 AF-Q9Y5Z0-F1-model_v4.pdb
Q9Y5Z4 AF-Q9Y5Z4-F1-model_v4.pdb
Q9Y5Z6 AF-Q9Y5Z6-F1-model_v4.pdb
Q9Y5Z7 AF-Q9Y5Z7-F1-model_v4.pdb
