Q8NFA2 AF-Q8NFA2-F1-model_v4.pdb
Q8TBP0 AF-Q8TBP0-F1-model_v4.pdb
Q8TBP5 AF-Q8TBP5-F1-model_v4.pdb
Q8TBP6 AF-Q8TBP6-F1-model_v4.pdb
Q8TBQ9 AF-Q8TBQ9-F1-model_v4.pdb
Q8TBR4 AF-Q8TBR4-F1-model_v4.pdb
Q8TBR5 AF-Q8TBR5-F1-model_v4.pdb
Q8TBR7 AF-Q8TBR7-F1-model_v4.pdb
Q8TBX8 AF-Q8TBX8-F1-model_v4.pdb
Q8TBY0 AF-Q8TBY0-F1-model_v4.pdb
Q8TBY8 AF-Q8TBY8-F1-model_v4.pdb
Q8TBY9 AF-Q8TBY9-F1-model_v4.pdb
Q8TBZ0 AF-Q8TBZ0-F1-model_v4.pdb
Q8TBZ2 AF-Q8TBZ2-F1-model_v4.pdb
Q8TBZ3 AF-Q8TBZ3-F1-model_v4.pdb
Q8TBZ5 AF-Q8TBZ5-F1-model_v4.pdb
Q8TBZ6 AF-Q8TBZ6-F1-model_v4.pdb
Q8TBZ8 AF-Q8TBZ8-F1-model_v4.pdb
Q8TBZ9 AF-Q8TBZ9-F1-model_v4.pdb
Q8TC05 AF-Q8TC05-F1-model_v4.pdb
Q8TC07 AF-Q8TC07-F1-model_v4.pdb
Q8TC12 AF-Q8TC12-F1-model_v4.pdb
Q8TC17 AF-Q8TC17-F1-model_v4.pdb
Q8TC20 AF-Q8TC20-F1-model_v4.pdb
Q8TC21 AF-Q8TC21-F1-model_v4.pdb
Q8TC26 AF-Q8TC26-F1-model_v4.pdb
Q8TC27 AF-Q8TC27-F1-model_v4.pdb
Q8TC29 AF-Q8TC29-F1-model_v4.pdb
Q8TC36 AF-Q8TC36-F1-model_v4.pdb
Q8TC41 AF-Q8TC41-F1-model_v4.pdb
Q8TC44 AF-Q8TC44-F1-model_v4.pdb
Q8TC56 AF-Q8TC56-F1-model_v4.pdb
Q8TC57 AF-Q8TC57-F1-model_v4.pdb
Q8TC59 AF-Q8TC59-F1-model_v4.pdb
Q8TC71 AF-Q8TC71-F1-model_v4.pdb
Q8TC76 AF-Q8TC76-F1-model_v4.pdb
Q8TC84 AF-Q8TC84-F1-model_v4.pdb
Q8TC90 AF-Q8TC90-F1-model_v4.pdb
Q8TC92 AF-Q8TC92-F1-model_v4.pdb
Q8TC94 AF-Q8TC94-F1-model_v4.pdb
Q8TC99 AF-Q8TC99-F1-model_v4.pdb
Q8TCA0 AF-Q8TCA0-F1-model_v4.pdb
Q8TCB0 AF-Q8TCB0-F1-model_v4.pdb
Q8TCB6 AF-Q8TCB6-F1-model_v4.pdb
Q8TCB7 AF-Q8TCB7-F1-model_v4.pdb
Q8TCC3 AF-Q8TCC3-F1-model_v4.pdb
Q8TCC7 AF-Q8TCC7-F1-model_v4.pdb
