Q6ZMP0 AF-Q6ZMP0-F1-model_v4.pdb
Q7RTT4 AF-Q7RTT4-F1-model_v4.pdb
Q7RTT5 AF-Q7RTT5-F1-model_v4.pdb
Q7RTT6 AF-Q7RTT6-F1-model_v4.pdb
Q7RTT9 AF-Q7RTT9-F1-model_v4.pdb
Q7RTU0 AF-Q7RTU0-F1-model_v4.pdb
Q7RTU1 AF-Q7RTU1-F1-model_v4.pdb
Q7RTU3 AF-Q7RTU3-F1-model_v4.pdb
Q7RTU4 AF-Q7RTU4-F1-model_v4.pdb
Q7RTU5 AF-Q7RTU5-F1-model_v4.pdb
Q7RTU7 AF-Q7RTU7-F1-model_v4.pdb
Q7RTU9 AF-Q7RTU9-F1-model_v4.pdb
Q7RTV0 AF-Q7RTV0-F1-model_v4.pdb
Q7RTV2 AF-Q7RTV2-F1-model_v4.pdb
Q7RTV3 AF-Q7RTV3-F1-model_v4.pdb
Q7RTV5 AF-Q7RTV5-F1-model_v4.pdb
Q7RTW8 AF-Q7RTW8-F1-model_v4.pdb
Q7RTX0 AF-Q7RTX0-F1-model_v4.pdb
Q7RTX1 AF-Q7RTX1-F1-model_v4.pdb
Q7RTX7 AF-Q7RTX7-F1-model_v4.pdb
Q7RTX9 AF-Q7RTX9-F1-model_v4.pdb
Q7RTY0 AF-Q7RTY0-F1-model_v4.pdb
Q7RTY1 AF-Q7RTY1-F1-model_v4.pdb
Q7RTY3 AF-Q7RTY3-F1-model_v4.pdb
Q7RTY5 AF-Q7RTY5-F1-model_v4.pdb
Q7RTY7 AF-Q7RTY7-F1-model_v4.pdb
Q7RTY8 AF-Q7RTY8-F1-model_v4.pdb
Q7RTY9 AF-Q7RTY9-F1-model_v4.pdb
Q7RTZ1 AF-Q7RTZ1-F1-model_v4.pdb
Q7RTZ2 AF-Q7RTZ2-F1-model_v4.pdb
Q7Z2D5 AF-Q7Z2D5-F1-model_v4.pdb
Q7Z2E3 AF-Q7Z2E3-F1-model_v4.pdb
Q7Z2F6 AF-Q7Z2F6-F1-model_v4.pdb
Q7Z2G1 AF-Q7Z2G1-F1-model_v4.pdb
Q7Z2H8 AF-Q7Z2H8-F1-model_v4.pdb
Q7Z2K6 AF-Q7Z2K6-F1-model_v4.pdb
Q7Z2K8 AF-Q7Z2K8-F1-model_v4.pdb
Q7Z2Q7 AF-Q7Z2Q7-F1-model_v4.pdb
Q7Z2R9 AF-Q7Z2R9-F1-model_v4.pdb
Q7Z2T5 AF-Q7Z2T5-F1-model_v4.pdb
Q7Z2V1 AF-Q7Z2V1-F1-model_v4.pdb
Q7Z2W4 AF-Q7Z2W4-F1-model_v4.pdb
Q7Z2W7 AF-Q7Z2W7-F1-model_v4.pdb
Q7Z2W9 AF-Q7Z2W9-F1-model_v4.pdb
Q7Z2X4 AF-Q7Z2X4-F1-model_v4.pdb
Q7Z2X7 AF-Q7Z2X7-F1-model_v4.pdb
Q7Z2Y5 AF-Q7Z2Y5-F1-model_v4.pdb
Q7Z2Y8 AF-Q7Z2Y8-F1-model_v4.pdb
Q7Z2Z1 AF-Q7Z2Z1-F1-model_v4.pdb
Q7Z2Z2 AF-Q7Z2Z2-F1-model_v4.pdb
Q7Z304 AF-Q7Z304-F1-model_v4.pdb
Q7Z309 AF-Q7Z309-F1-model_v4.pdb
Q7Z333 AF-Q7Z333-F1-model_v4.pdb
Q7Z340 AF-Q7Z340-F1-model_v4.pdb
Q7Z353 AF-Q7Z353-F1-model_v4.pdb
Q7Z388 AF-Q7Z388-F1-model_v4.pdb
