Q86XJ0 AF-Q86XJ0-F1-model_v4.pdb
Q8IXT5 AF-Q8IXT5-F1-model_v4.pdb
Q8IXU6 AF-Q8IXU6-F1-model_v4.pdb
Q8IXV7 AF-Q8IXV7-F1-model_v4.pdb
Q8IXW0 AF-Q8IXW0-F1-model_v4.pdb
Q8IXW5 AF-Q8IXW5-F1-model_v4.pdb
Q8IXX5 AF-Q8IXX5-F1-model_v4.pdb
Q8IXY8 AF-Q8IXY8-F1-model_v4.pdb
Q8IXZ2 AF-Q8IXZ2-F1-model_v4.pdb
Q8IXZ3 AF-Q8IXZ3-F1-model_v4.pdb
Q8IY17 AF-Q8IY17-F1-model_v4.pdb
Q8IY18 AF-Q8IY18-F1-model_v4.pdb
Q8IY21 AF-Q8IY21-F1-model_v4.pdb
Q8IY22 AF-Q8IY22-F1-model_v4.pdb
Q8IY26 AF-Q8IY26-F1-model_v4.pdb
Q8IY31 AF-Q8IY31-F1-model_v4.pdb
Q8IY33 AF-Q8IY33-F1-model_v4.pdb
Q8IY34 AF-Q8IY34-F1-model_v4.pdb
Q8IY37 AF-Q8IY37-F1-model_v4.pdb
Q8IY42 AF-Q8IY42-F1-model_v4.pdb
Q8IY45 AF-Q8IY45-F1-model_v4.pdb
Q8IY47 AF-Q8IY47-F1-model_v4.pdb
Q8IY49 AF-Q8IY49-F1-model_v4.pdb
Q8IY50 AF-Q8IY50-F1-model_v4.pdb
Q8IY51 AF-Q8IY51-F1-model_v4.pdb
Q8IY57 AF-Q8IY57-F1-model_v4.pdb
Q8IY63 AF-Q8IY63-F1-model_v4.pdb
Q8IY67 AF-Q8IY67-F1-model_v4.pdb
Q8IY81 AF-Q8IY81-F1-model_v4.pdb
Q8IY82 AF-Q8IY82-F1-model_v4.pdb
Q8IY84 AF-Q8IY84-F1-model_v4.pdb
Q8IWV2 AF-Q8IWV2-F1-model_v4.pdb
Q8IWV7 AF-Q8IWV7-F1-model_v4.pdb
Q8IWV8 AF-Q8IWV8-F1-model_v4.pdb
Q8IWW6 AF-Q8IWW6-F1-model_v4.pdb
Q8IWW8 AF-Q8IWW8-F1-model_v4.pdb
Q8IWX5 AF-Q8IWX5-F1-model_v4.pdb
Q8IWX7 AF-Q8IWX7-F1-model_v4.pdb
Q8IWX8 AF-Q8IWX8-F1-model_v4.pdb
Q8IWY4 AF-Q8IWY4-F1-model_v4.pdb
Q8IWY8 AF-Q8IWY8-F1-model_v4.pdb
Q8IWY9 AF-Q8IWY9-F1-model_v4.pdb
